,strategy,ticker,time window,commission,market,yearly avg performance strategy (%),yearly avg performance buy & hold (%),yearly return differential (%)
143,MovingAverageCrossOver,XRAY,2010-01-01/2023-01-01,0.3,XLV,6.285833333333334,3.2499999999999996,3.035833333333334
144,MovingAverageCrossOver,DVN,2010-01-01/2023-01-01,0.3,XLE,9.196666666666667,9.368333333333334,-0.17166666666666686
145,MovingAverageCrossOver,DXCM,2010-01-01/2023-01-01,0.3,XLV,16.59333333333333,41.35,-24.75666666666667
146,MovingAverageCrossOver,FANG,2010-01-01/2023-01-01,0.3,XLE,23.333,33.394999999999996,-10.061999999999998
147,MovingAverageCrossOver,DLR,2010-01-01/2023-01-01,0.3,XLRE,1.030833333333333,8.013333333333334,-6.982500000000001
148,MovingAverageCrossOver,DFS,2010-01-01/2023-01-01,0.3,XLF,6.724166666666666,20.98166666666667,-14.257500000000004
149,MovingAverageCrossOver,DIS,2010-01-01/2023-01-01,0.3,XLC,12.325000000000001,12.825833333333335,-0.5008333333333344
150,MovingAverageCrossOver,DG,2010-01-01/2023-01-01,0.3,XLP,6.7508333333333335,20.135833333333334,-13.385000000000002
151,MovingAverageCrossOver,DLTR,2010-01-01/2023-01-01,0.3,XLP,12.129166666666665,18.86,-6.730833333333335
152,MovingAverageCrossOver,D,2010-01-01/2023-01-01,0.3,XLU,-0.8491666666666671,5.554166666666667,-6.403333333333334
153,MovingAverageCrossOver,DPZ,2010-01-01/2023-01-01,0.3,XLY,20.404166666666665,34.50833333333333,-14.104166666666668
154,MovingAverageCrossOver,DOV,2010-01-01/2023-01-01,0.3,XLI,8.270833333333334,14.250833333333334,-5.98
155,MovingAverageCrossOver,DOW,2010-01-01/2023-01-01,0.3,XLB,15.433333333333332,5.906666666666666,9.526666666666666
156,MovingAverageCrossOver,DTE,2010-01-01/2023-01-01,0.3,XLU,1.2791666666666666,10.360833333333332,-9.081666666666665
157,MovingAverageCrossOver,DUK,2010-01-01/2023-01-01,0.3,XLU,-4.176666666666667,6.310833333333335,-10.4875
158,MovingAverageCrossOver,DD,2010-01-01/2023-01-01,0.3,XLB,6.661666666666666,6.144166666666666,0.5175000000000001
159,MovingAverageCrossOver,DXC,2010-01-01/2023-01-01,0.3,XLK,5.671666666666667,10.21333333333333,-4.5416666666666625
160,MovingAverageCrossOver,EMN,2010-01-01/2023-01-01,0.3,XLB,13.959166666666668,11.558333333333332,2.4008333333333365
161,MovingAverageCrossOver,ETN,2010-01-01/2023-01-01,0.3,XLI,4.3966666666666665,13.150833333333333,-8.754166666666666
162,MovingAverageCrossOver,EBAY,2010-01-01/2023-01-01,0.3,XLY,3.9475000000000002,15.348333333333334,-11.400833333333335
163,MovingAverageCrossOver,ECL,2010-01-01/2023-01-01,0.3,XLB,1.258333333333334,12.119166666666667,-10.860833333333332
164,MovingAverageCrossOver,EIX,2010-01-01/2023-01-01,0.3,XLU,-3.0233333333333334,5.928333333333335,-8.951666666666668
165,MovingAverageCrossOver,EW,2010-01-01/2023-01-01,0.3,XLV,6.1883333333333335,23.185,-16.996666666666666
166,MovingAverageCrossOver,EA,2010-01-01/2023-01-01,0.3,XLC,16.979166666666668,22.717499999999998,-5.73833333333333
167,MovingAverageCrossOver,ELV,2010-01-01/2023-01-01,0.3,XLV,10.7825,20.910833333333333,-10.128333333333332
168,MovingAverageCrossOver,LLY,2010-01-01/2023-01-01,0.3,XLV,8.7975,20.596666666666668,-11.799166666666668
169,MovingAverageCrossOver,EMR,2010-01-01/2023-01-01,0.3,XLI,-2.499166666666667,6.009999999999999,-8.509166666666665
170,MovingAverageCrossOver,ENPH,2010-01-01/2023-01-01,0.3,XLK,64.36200000000001,94.60900000000001,-30.247
171,MovingAverageCrossOver,ETR,2010-01-01/2023-01-01,0.3,XLU,-5.008333333333334,3.6558333333333333,-8.664166666666667
172,MovingAverageCrossOver,EOG,2010-01-01/2023-01-01,0.3,XLE,2.209166666666667,11.804166666666667,-9.595
173,MovingAverageCrossOver,EPAM,2010-01-01/2023-01-01,0.3,XLK,16.823,39.712,-22.889000000000003
174,MovingAverageCrossOver,EQT,2010-01-01/2023-01-01,0.3,XLE,13.020000000000001,10.65833333333333,2.3616666666666717
175,MovingAverageCrossOver,EFX,2010-01-01/2023-01-01,0.3,XLI,10.830833333333333,17.910833333333333,-7.08
176,MovingAverageCrossOver,EQIX,2010-01-01/2023-01-01,0.3,XLRE,10.934166666666668,20.02,-9.085833333333332
177,MovingAverageCrossOver,EQR,2010-01-01/2023-01-01,0.3,XLRE,2.1616666666666666,5.8,-3.638333333333333
178,MovingAverageCrossOver,ESS,2010-01-01/2023-01-01,0.3,XLRE,-1.9875,9.825833333333334,-11.813333333333334
179,MovingAverageCrossOver,EL,2010-01-01/2023-01-01,0.3,XLP,7.990833333333332,20.744999999999997,-12.754166666666666
180,MovingAverageCrossOver,ETSY,2010-01-01/2023-01-01,0.3,XLY,34.83,51.23000000000001,-16.400000000000013
181,MovingAverageCrossOver,EG,2010-01-01/2023-01-01,0.3,XLF,2.721666666666667,11.760833333333336,-9.039166666666668
182,MovingAverageCrossOver,EVRG,2010-01-01/2023-01-01,0.3,XLU,-3.7041666666666657,9.278333333333334,-12.9825
183,MovingAverageCrossOver,ES,2010-01-01/2023-01-01,0.3,XLU,-2.2375,9.938333333333334,-12.175833333333333
184,MovingAverageCrossOver,EXC,2010-01-01/2023-01-01,0.3,XLU,-2.111666666666667,3.9250000000000003,-6.036666666666667
185,MovingAverageCrossOver,EXPE,2010-01-01/2023-01-01,0.3,XLY,12.845833333333333,11.886666666666665,0.9591666666666683
186,MovingAverageCrossOver,EXPD,2010-01-01/2023-01-01,0.3,XLI,0.44583333333333314,8.845833333333333,-8.4
187,MovingAverageCrossOver,EXR,2010-01-01/2023-01-01,0.3,XLRE,8.83,24.9075,-16.0775
188,MovingAverageCrossOver,XOM,2010-01-01/2023-01-01,0.3,XLE,2.8974999999999995,5.4925,-2.595
189,MovingAverageCrossOver,FFIV,2010-01-01/2023-01-01,0.3,XLK,1.690833333333334,8.051666666666668,-6.360833333333334
190,MovingAverageCrossOver,FDS,2010-01-01/2023-01-01,0.3,XLF,1.7758333333333332,15.677499999999997,-13.901666666666664
191,MovingAverageCrossOver,FICO,2010-01-01/2023-01-01,0.3,XLK,4.629166666666667,29.10666666666666,-24.477499999999992
192,MovingAverageCrossOver,FAST,2010-01-01/2023-01-01,0.3,XLI,3.335833333333332,13.536666666666667,-10.200833333333335
193,MovingAverageCrossOver,FRT,2010-01-01/2023-01-01,0.3,XLRE,-0.6083333333333333,4.501666666666667,-5.11
194,MovingAverageCrossOver,FDX,2010-01-01/2023-01-01,0.3,XLI,7.921666666666667,9.785833333333334,-1.8641666666666676
195,MovingAverageCrossOver,FITB,2010-01-01/2023-01-01,0.3,XLF,10.209166666666667,11.885833333333332,-1.6766666666666659
196,MovingAverageCrossOver,FSLR,2010-01-01/2023-01-01,0.3,XLK,8.308333333333332,7.63,0.6783333333333319
