,strategy,ticker,time window,commission,market,yearly avg performance strategy (%),yearly avg performance buy & hold (%)
130,MovingAverageCrossOver,CPRT,2010-01-01/2023-01-01,0.3,S&P 500,16.150833333333335,25.665000000000003
131,MovingAverageCrossOver,GLW,2010-01-01/2023-01-01,0.3,S&P 500,6.2925,7.4025
132,MovingAverageCrossOver,CTVA,2010-01-01/2023-01-01,0.3,XLB,14.756666666666666,29.23
133,MovingAverageCrossOver,CSGP,2010-01-01/2023-01-01,0.3,S&P 500,18.616666666666667,27.86499999999999
134,MovingAverageCrossOver,COST,2010-01-01/2023-01-01,0.3,XLP,10.4,19.694166666666664
135,MovingAverageCrossOver,CTRA,2010-01-01/2023-01-01,0.3,S&P 500,8.241666666666667,14.286666666666667
136,MovingAverageCrossOver,CCI,2010-01-01/2023-01-01,0.3,XLRE,1.4099999999999993,13.27833333333333
137,MovingAverageCrossOver,CSX,2010-01-01/2023-01-01,0.3,XLI,12.354166666666664,17.145
138,MovingAverageCrossOver,CMI,2010-01-01/2023-01-01,0.3,XLB,6.3725,10.423333333333332
139,MovingAverageCrossOver,CVS,2010-01-01/2023-01-01,0.3,XLV,9.703333333333333,11.333333333333334
140,MovingAverageCrossOver,DHI,2010-01-01/2023-01-01,0.3,XLY,6.630833333333334,18.680833333333336
141,MovingAverageCrossOver,DHR,2010-01-01/2023-01-01,0.3,XLV,11.536666666666667,20.645
142,MovingAverageCrossOver,DRI,2010-01-01/2023-01-01,0.3,S&P 500,5.4925,12.505833333333333
143,MovingAverageCrossOver,DVA,2010-01-01/2023-01-01,0.3,S&P 500,8.074166666666667,11.145000000000003
144,MovingAverageCrossOver,DE,2010-01-01/2023-01-01,0.3,XLI,12.269166666666665,17.963333333333335
145,MovingAverageCrossOver,DAL,2010-01-01/2023-01-01,0.3,XLI,6.930833333333335,14.981666666666664
146,MovingAverageCrossOver,XRAY,2010-01-01/2023-01-01,0.3,S&P 500,-0.47916666666666696,3.2499999999999996
147,MovingAverageCrossOver,DVN,2010-01-01/2023-01-01,0.3,XLE,12.999166666666667,9.368333333333334
148,MovingAverageCrossOver,DXCM,2010-01-01/2023-01-01,0.3,S&P 500,33.86083333333334,41.35
149,MovingAverageCrossOver,FANG,2010-01-01/2023-01-01,0.3,S&P 500,29.976999999999997,33.394999999999996
150,MovingAverageCrossOver,DLR,2010-01-01/2023-01-01,0.3,XLRE,1.9558333333333326,8.013333333333334
151,MovingAverageCrossOver,DFS,2010-01-01/2023-01-01,0.3,XLF,18.061666666666667,20.98166666666667
152,MovingAverageCrossOver,DIS,2010-01-01/2023-01-01,0.3,XLC,11.226666666666667,12.825833333333335
153,MovingAverageCrossOver,DG,2010-01-01/2023-01-01,0.3,XLY,13.583333333333334,20.135833333333334
154,MovingAverageCrossOver,DLTR,2010-01-01/2023-01-01,0.3,XLY,11.741666666666667,18.86
155,MovingAverageCrossOver,D,2010-01-01/2023-01-01,0.3,XLU,1.3475000000000004,5.554166666666667
156,MovingAverageCrossOver,DPZ,2010-01-01/2023-01-01,0.3,S&P 500,25.38333333333333,34.50833333333333
157,MovingAverageCrossOver,DOV,2010-01-01/2023-01-01,0.3,XLI,7.115833333333334,14.250833333333334
158,MovingAverageCrossOver,DOW,2010-01-01/2023-01-01,0.3,XLB,-0.6999999999999993,5.906666666666666
159,MovingAverageCrossOver,DTE,2010-01-01/2023-01-01,0.3,XLU,3.3624999999999994,10.360833333333332
160,MovingAverageCrossOver,DUK,2010-01-01/2023-01-01,0.3,XLU,1.8675000000000004,6.310833333333335
